@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
3896,'2020/12/08 21:22:33:554',14,0.002956,-0.008197,0.017373,0.031769,0.027251,-0.054064,1.500644,-1.261434,-1.3547,1
3897,'2020/12/08 21:22:33:606',14,0.014905,0.003251,0.00728,0.012671,0.059159,0.025713,1.501361,-1.2753,-1.338251,1
3898,'2020/12/08 21:22:33:658',14,0.002556,0.00946,0.009651,-0.004367,-0.001861,-0.000246,1.50003,-1.293962,-1.317547,1
3899,'2020/12/08 21:22:33:712',14,0.008365,-0.007076,0.01046,0.009207,0.066645,0.05403,1.50031,-1.296653,-1.313392,1
3900,'2020/12/08 21:22:33:765',14,-0.002792,-0.007315,0.004336,0.003093,0.088529,0.096242,1.496372,-1.320457,-1.285596,1
3901,'2020/12/08 21:22:33:824',14,-0.001425,0.01184,-0.002625,-0.05147,0.039005,-0.005503,1.494826,-1.311367,-1.290185,1
3902,'2020/12/08 21:22:33:875',14,0.003847,0.001689,0.007246,-0.074607,-0.009198,-0.023814,1.494571,-1.258391,-1.34286,1
3903,'2020/12/08 21:22:33:923',14,0.015363,-0.002798,0.002928,-0.037014,0.012897,0.050857,1.49317,-1.22765,-1.372978,1
3904,'2020/12/08 21:22:33:974',14,0.00785,0.001262,-0.001084,0.01194,-0.016765,0.020961,1.491823,-1.23434,-1.365652,1
3905,'2020/12/08 21:22:34:030',14,0.005052,0.008128,0.002972,0.033036,-0.055821,0.011219,1.492009,-1.255046,-1.346165,1
3906,'2020/12/08 21:22:34:084',14,-0.018149,-0.007947,-0.002056,0.04828,-0.087409,-0.038731,1.493469,-1.283149,-1.322109,1
3907,'2020/12/08 21:22:34:144',14,-0.000855,-0.026279,0.008151,0.035252,0.001799,0.0344,1.495599,-1.309229,-1.29873,1
3908,'2020/12/08 21:22:34:191',14,0.000911,-0.008295,0.01733,-0.076867,0.067902,0.112314,1.490794,-1.316267,-1.289619,1
3909,'2020/12/08 21:22:34:237',14,0.025896,0.022779,-0.012645,-0.208539,0.000545,0.086828,1.483285,-1.24842,-1.35393,1
3910,'2020/12/08 21:22:34:290',14,-0.018056,0.009285,-0.012018,-0.151049,-0.066731,-0.014878,1.478406,-1.158936,-1.446108,1
3911,'2020/12/08 21:22:34:342',14,-0.017167,-0.020674,-0.002948,-0.009086,0.012845,0.001769,1.478173,-1.109904,-1.496538,1
3912,'2020/12/08 21:22:34:395',14,-0.009178,-0.004384,-0.006373,0.099483,-0.026044,-0.070218,1.478935,-1.134887,-1.470582,1
3913,'2020/12/08 21:22:34:451',14,0.000525,0.009605,0.001424,0.0785,-0.142571,-0.244238,1.490246,-1.149121,-1.461732,1
3914,'2020/12/08 21:22:34:500',14,0.011418,-0.015357,0.017839,0.037277,-0.067945,-0.072992,1.497614,-1.144588,-1.471952,1
3915,'2020/12/08 21:22:34:553',14,0.000198,-0.009401,0.009515,-0.027418,0.029338,0.017544,1.498526,-1.141064,-1.475861,1
3916,'2020/12/08 21:22:34:605',14,-0.003319,-0.003597,0.00186,-0.080086,-0.009477,-0.023815,1.497756,-1.111794,-1.504091,1
3917,'2020/12/08 21:22:34:658',14,-0.017413,0.025867,-0.026031,-0.005685,-0.043091,-0.197009,1.500735,-1.046164,-1.570605,1
3918,'2020/12/08 21:22:34:713',14,0.002085,0.001823,-0.017268,0.173361,-0.097593,-0.250982,1.513235,-1.008413,-1.612784,1
3919,'2020/12/08 21:22:34:764',14,0.018855,-0.024867,0.020164,0.26028,0.071753,-0.019881,1.523373,-1.121799,-1.499946,1
3920,'2020/12/08 21:22:34:818',14,0.025706,-0.010195,0.022465,0.122019,0.077016,0.053458,1.524206,-1.311948,-1.304703,1
3921,'2020/12/08 21:22:34:869',14,0.024925,0.007057,-0.002075,-0.09473,-0.063571,0.019833,1.523098,-1.333995,-1.282202,1
3922,'2020/12/08 21:22:34:924',14,0.01392,0.000281,0.003335,-0.127304,-0.024751,0.079896,1.521518,-1.228817,-1.39082,1
3923,'2020/12/08 21:22:34:975',14,0.003595,-0.000776,-0.008292,-0.048201,-0.024314,0.105548,1.516133,-1.180094,-1.440043,1
3924,'2020/12/08 21:22:35:027',14,-0.021815,-0.013389,0.010535,-0.006162,0.013939,0.016496,1.513784,-1.183202,-1.438522,1
3925,'2020/12/08 21:22:35:079',14,-0.011135,0.001643,0.014348,-0.238732,0.046336,0.100475,1.507962,-1.111241,-1.508323,1
3926,'2020/12/08 21:22:35:132',14,-0.017727,0.015352,-0.026982,-0.207387,0.139008,0.140954,1.49486,-0.986217,-1.630645,1
3927,'2020/12/08 21:22:35:186',14,-0.008306,0.008429,-0.026835,0.105887,0.099467,-0.008377,1.491559,-1.003767,-1.605837,1
3928,'2020/12/08 21:22:35:239',14,-0.006724,-0.007224,0.01169,0.083512,0.000702,-0.099321,1.496572,-1.031169,-1.576964,1
3929,'2020/12/08 21:22:35:290',14,0.008834,-0.003022,0.010097,0.016145,0.006755,0.010867,1.498744,-1.026827,-1.582314,1
3930,'2020/12/08 21:22:35:343',14,0.01668,-0.007457,-0.020379,0.07767,-0.038965,-0.081496,1.500963,-1.056002,-1.552697,1
3931,'2020/12/08 21:22:35:396',14,-0.001744,-0.002675,-0.001516,-0.010384,-0.03952,-0.043332,1.505818,-1.050208,-1.562113,1
3932,'2020/12/08 21:22:35:448',14,-0.006149,-0.004775,0.030432,-0.074232,-0.034491,0.004369,1.504964,-1.018359,-1.594476,1
3933,'2020/12/08 21:22:35:519',14,0.010634,-0.017117,0.007359,-0.007031,0.028443,-0.017556,1.504312,-0.958834,-1.655398,1
3934,'2020/12/08 21:22:35:553',14,0.020871,0.029666,-0.023042,0.07098,-0.090924,-0.019875,1.506409,-1.016654,-1.597733,1
3935,'2020/12/08 21:22:35:606',14,-0.032323,0.004654,-0.010164,0.085265,-0.043828,-0.104325,1.511286,-1.045708,-1.572649,1
3936,'2020/12/08 21:22:35:658',14,-0.009507,-0.027661,0.015807,0.012519,0.060225,0.003783,1.515329,-1.066398,-1.551728,1
3937,'2020/12/08 21:22:35:711',14,-0.018876,-0.025583,0.012306,-0.073154,0.063497,-0.047476,1.513221,-1.026888,-1.587763,1
3938,'2020/12/08 21:22:35:764',14,0.019297,0.001995,0.009686,-0.021027,0.019549,-0.048416,1.514656,-0.997118,-1.615906,1
3939,'2020/12/08 21:22:35:819',14,0.029415,0.016472,-0.001337,-0.092388,-0.016554,0.040903,1.512728,-0.962245,-1.650754,1
3940,'2020/12/08 21:22:35:871',14,-0.010727,-0.001309,-0.004287,-0.129884,-0.037119,-0.004191,1.508087,-0.903088,-1.709643,1
3941,'2020/12/08 21:22:35:922',14,-0.01105,0.009551,-0.010307,0.079865,-0.103142,-0.108329,1.510502,-0.86001,-1.75772,1
3942,'2020/12/08 21:22:35:974',14,0.006309,-0.022977,0.029533,0.008223,-0.066108,0.006559,1.514504,-0.874309,-1.748063,1
3943,'2020/12/08 21:22:36:030',14,-0.009209,-0.010673,0.001866,-0.138585,0.018111,0.050875,1.508411,-0.839627,-1.783228,1
3944,'2020/12/08 21:22:36:080',14,0.005513,0.006554,-0.009095,0.016979,-0.010915,-0.02648,1.508901,-0.83362,-1.78872,1
3945,'2020/12/08 21:22:36:132',14,0.015952,0.008354,-0.006392,0.012673,0.019721,0.002542,1.508404,-0.828562,-1.793464,1
3946,'2020/12/08 21:22:36:186',14,0.007597,0.001625,0.002161,0.030396,0.022608,0.047059,1.508168,-0.855657,-1.764897,1
3947,'2020/12/08 21:22:36:237',14,0.004337,0.001615,0.009062,0.030579,0.066298,0.046101,1.507997,-0.882747,-1.735194,1
